IATA,ICAO,Airport name,Country,City,Information
AAA,NTGA,Anaa,French Polynesia,Anaa,https://www.worlddata.info/oceania/french-polynesia/airports.php
AAB,YARY,Arrabury,Australia,Tanbar,https://www.worlddata.info/oceania/australia/airports.php
AAC,HEAR,El Arish Intl,Egypt,El Arish,https://www.worlddata.info/africa/egypt/airports.php
AAD,,Adado,Somalia,Adado,https://www.worlddata.info/africa/somalia/airports.php
AAE,DABB,Annaba Rabah Bitat,Algeria,Annaba,https://www.worlddata.info/africa/algeria/airports.php
AAF,KAAF,Apalachicola Regional,United States of America,Apalachicola,https://www.worlddata.info/america/usa/airports.php
AAG,SSYA,Fazenda Tropical,Brazil,São Luiz do Norte,https://www.worlddata.info/america/brazil/airports.php
AAH,EDKA,Aachen-Merzbrück,Germany,Aachen,https://www.worlddata.info/europe/germany/airports.php
AAI,SWRA,Arraias,Brazil,Arraias,https://www.worlddata.info/america/brazil/airports.php
AAJ,,Cayana Airstrip,Suriname,Awaradam,https://www.worlddata.info/america/suriname/airports.php
AAK,NGUK,Aranuka,Kiribati,Buariki,https://www.worlddata.info/oceania/kiribati/airports.php
AAL,EKYT,Aalborg,Denmark,Aalborg,https://www.worlddata.info/europe/denmark/airports.php
AAM,FAMD,Malamala,South Africa,Malamala,https://www.worlddata.info/africa/south-africa/airports.php
AAN,OMAL,Al Ain Intl,United Arab Emirates,Al Ain,https://www.worlddata.info/asia/arab-emirates/airports.php
AAO,SVAN,Anaco,Venezuela,Anaco,https://www.worlddata.info/america/venezuela/airports.php
AAP,WALS,Aji Pangeran Tumenggung Pranoto Intl,Indonesia,Samarinda,https://www.worlddata.info/asia/indonesia/airports.php
AAQ,URKA,Anapa Vityazevo,Russia,Krasnyi Kurgan,https://www.worlddata.info/europe/russia/airports.php
AAR,EKAH,Aarhus,Denmark,Aarhus,https://www.worlddata.info/europe/denmark/airports.php
AAS,,Apalapsili,Indonesia,Apalapsili,https://www.worlddata.info/asia/indonesia/airports.php
AAT,ZWAT,Altay Xuedu,China,Altay,https://www.worlddata.info/asia/china/airports.php
AAU,NSAU,Asau,Samoa,Asau,https://www.worlddata.info/oceania/samoa/airports.php
AAV,RPMA,Allah Valley,Philippines,Surallah,https://www.worlddata.info/asia/philippines/airports.php
AAX,SBAX,Romeu Zema,Brazil,Araxá,https://www.worlddata.info/america/brazil/airports.php
AAY,OYGD,Al Ghaydah Intl,Yemen,Al Ghaydah,https://www.worlddata.info/asia/yemen/airports.php
AAZ,MGQZ,Quezaltenango,Guatemala,Quezaltenango,https://www.worlddata.info/america/guatemala/airports.php
ABA,UNAA,Abakan Intl,Russia,Abakan,https://www.worlddata.info/europe/russia/airports.php
ABB,DNAS,Asaba Intl,Nigeria,Asaba,https://www.worlddata.info/africa/nigeria/airports.php
ABC,LEAB,Albacete / Los Llanos Air Base,Spain,Albacete,https://www.worlddata.info/europe/spain/airports.php
ABD,OIAA,Abadan Ayatollah Jami Intl,Iran,Abadan,https://www.worlddata.info/asia/iran/airports.php
ABE,KABE,Lehigh Valley Intl,United States of America,Allentown/Bethlehem,https://www.worlddata.info/america/usa/airports.php
ABF,NGAB,Abaiang,Kiribati,Abaiang,https://www.worlddata.info/oceania/kiribati/airports.php
ABG,YABI,Abingdon Downs,Australia,Abingdon Downs,https://www.worlddata.info/oceania/australia/airports.php
ABH,,Alpha,Australia,Alpha,https://www.worlddata.info/oceania/australia/airports.php
ABI,KABI,Abilene Regional,United States of America,Abilene,https://www.worlddata.info/america/usa/airports.php
ABJ,DIAP,Félix-Houphouët-Boigny Intl,Ivory Coast,Abidjan,https://www.worlddata.info/africa/ivory-coast/airports.php
ABK,HAKD,Kebri Dahar,Ethiopia,Kebri Dahar,https://www.worlddata.info/africa/ethiopia/airports.php
ABL,PAFM,Ambler,United States of America,Ambler,https://www.worlddata.info/america/usa/airports.php
ABM,YNPE,Northern Peninsula,Australia,Bamaga,https://www.worlddata.info/oceania/australia/airports.php
ABN,SMBN,Albina,Suriname,Albina,https://www.worlddata.info/america/suriname/airports.php
ABO,DIAO,Aboisso,Ivory Coast,Aboisso,https://www.worlddata.info/africa/ivory-coast/airports.php
ABP,,Atkamba,Papua New Guinea,Atkamba Mission,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
ABQ,KABQ,Albuquerque Intl Sunport,United States of America,Albuquerque,https://www.worlddata.info/america/usa/airports.php
ABR,KABR,Aberdeen Regional,United States of America,Aberdeen,https://www.worlddata.info/america/usa/airports.php
ABS,HEBL,Abu Simbel,Egypt,Abu Simbel,https://www.worlddata.info/africa/egypt/airports.php
ABT,OEBA,King Saud Bin Abdulaziz (Al Baha),Saudi Arabia,Al-Baha,https://www.worlddata.info/asia/saudi-arabia/airports.php
